"3_judge_dc","docket","name","citation.led","citation.lexis","citation.sct","citation.us","decision.authority","decision.direction","decision.dissent agrees","decision.jurisdiction","decision.precedent altered?","decision.term","decision.type","decision.unconstitutional","decision.winning party","id.case","id.case issues","id.docket","id.vote","issue.area","issue.id","issue.text","laws.id","laws.type","lower court.direction","lower court.disagreement?","lower court.disposition","lower court.reasons","natural court.chief","natural court.id","natural court.period","origin.id","origin.name","source.id","source.name","voting.majority","voting.minority","voting.split on second","voting.unclear","arguments.petitioner.entity","arguments.petitioner.id","arguments.respondent.entity","arguments.respondent.id","decision.admin action.agency","decision.admin action.id","decision.case.disposition","decision.case.unusual","decision.date.day","decision.date.full","decision.date.month","decision.date.year","voting.majority assigner.id","voting.majority assigner.name","voting.majority writer.id","voting.majority writer.name"
"True","24","HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.","91 L. Ed. 3","1946 U.S. LEXIS 1724","67 S. Ct. 6","329 U.S. 1","4.0","liberal","True","rehearing or restored to calendar for reargument","True","1946","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1946-001","1946-001-01-01","1946-001-01","1946-001-01-01-01","Economic Activity","80180","patents and copyrights: patent","6","Infrequently litigated statutes","conservative","True","affirmed","to resolve question presented","Vinson","1301","1","51","California Southern U.S. District Court","29","U.S. Court of Appeals  Ninth Circuit","8","1","True","True","oil company / or natural gas producer","198","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","18","11/18/1946","11","1946","78","HLBlack","78","HLBlack"
"True","280","FUNK BROTHERS SEED CO. v. KALO INOCULANT CO.","92 L. Ed. 2d 588","1948 U.S. LEXIS 2842","68 S. Ct. 440","333 U.S. 127","7.0","liberal","True","cert","True","1947","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1947-039","1947-039-01-01","1947-039-01","1947-039-01-01-01","Economic Activity","80180","patents and copyrights: patent","10","Unspecified","conservative","True","reversed","to resolve question presented","Vinson","1301","1","67","Illinois Southern U.S. District Court","27","U.S. Court of Appeals  Seventh Circuit","7","2","True","True","food / meat packing / or processing company / stockyard","158","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","16","2/16/1948","2","1948","87","FMVinson","81","WODouglas"
"True","85","YOUNG v. UNITED STATES ex rel. VUITTON ET FILS S. A. et al.","95 L. Ed. 2d 740","1987 U.S. LEXIS 2261","107 S. Ct. 2124","481 U.S. 787","3.0","liberal","True","cert","True","1986","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1986-104","1986-104-01-01","1986-104-01","1986-104-01-01-01","Criminal Procedure","10080","contempt of court or congress","4","Court Rules","conservative","True","affirmed","no reason given","Rehnquist","1601","1","96","New York Southern U.S. District Court","22","U.S. Court of Appeals  Second Circuit","5","4","True","True","person accused / indicted / or suspected of crime","100","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","26","5/26/1987","5","1987","92","WJBrennan","92","WJBrennan"
"True","71","UNITED STATES v. GLAXO GROUP LTD. et al.","35 L. Ed. 2d 104","1973 U.S. LEXIS 26","93 S. Ct. 861","410 U.S. 52","7.0","liberal","True","appeal","True","1972","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1972-046","1972-046-01-01","1972-046-01","1972-046-01-01-01","Economic Activity","80010","antitrust (except in the context of mergers and union antitrust)","10","Unspecified","conservative","True","the decision the Supreme Court reviewed is that of a trial court or if the case arose under the Supreme Court's original jurisdiction ","case did not arise on cert or cert not granted","Burger","1504","4","55","District Of Columbia U.S. District Court","55","District Of Columbia U.S. District Court","6","3","True","True","United States","27","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","22","1/22/1973","1","1973","99","WEBurger","95","BRWhite"
"True","250","UNITED STATES v. NEW WRINKLE, INC. ET AL.","96 L. Ed. 2d 417","1952 U.S. LEXIS 2811","72 S. Ct. 350","342 U.S. 371","4.0","liberal","True","appeal","True","1951","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1951-040","1951-040-01-01","1951-040-01","1951-040-01-01-01","Economic Activity","80010","antitrust (except in the context of mergers and union antitrust)","3","Federal Statute","conservative","True","the decision the Supreme Court reviewed is that of a trial court or if the case arose under the Supreme Court's original jurisdiction ","case did not arise on cert or cert not granted","Vinson","1303","3","104","Ohio Southern U.S. District Court","104","Ohio Southern U.S. District Court","8","0","True","True","United States","27","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","4","2/4/1952","2","1952","87","FMVinson","79","SFReed"
"True","75","SAKRAIDA v. AG PRO, INC.","47 L. Ed. 2d 784","1976 U.S. LEXIS 146","96 S. Ct. 1532","425 U.S. 273","4.0","liberal","True","cert","True","1975","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1975-075","1975-075-01-01","1975-075-01","1975-075-01-01-01","Economic Activity","80180","patents and copyrights: patent","6","Infrequently litigated statutes","conservative","True","reversed","no reason given","Burger","1506","6","122","Texas Western U.S. District Court","25","U.S. Court of Appeals  Fifth Circuit","9","0","True","True","farmer / farm worker / or farm organization","152","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","2","4/2/1976","4","1976","99","WEBurger","92","WJBrennan"
"True","755","McCULLOUGH v. KAMMERER CORPORATION ET AL.","91 L. Ed. 1365","1947 U.S. LEXIS 2996","67 S. Ct. 1165","331 U.S. 96","4.0","liberal","True","cert","True","1946","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1946-090","1946-090-01-01","1946-090-01","1946-090-01-01-01","Judicial Power","90380","judicial administration: review of non-final order","6","Infrequently litigated statutes","conservative","True","petition denied or appeal dismissed","no reason given","Vinson","1301","1","51","California Southern U.S. District Court","29","U.S. Court of Appeals  Ninth Circuit","9","0","True","True","holder of a license or permit / or applicant therefor","177","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","28","4/28/1947","4","1947","78","HLBlack","78","HLBlack"
"True","20","BRULOTTE et al. v. THYS CO.","13 L. Ed. 2d 99","1964 U.S. LEXIS 2379","85 S. Ct. 176","379 U.S. 29","4.0","liberal","True","cert","True","1964","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1964-002","1964-002-01-01","1964-002-01","1964-002-01-01-01","Economic Activity","80180","patents and copyrights: patent","6","Infrequently litigated statutes","conservative","True","affirmed","no reason given","Warren","1408","8","302","State Trial Court","300","State Supreme Court","8","1","True","True","holder of a license or permit / or applicant therefor","177","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","16","11/16/1964","11","1964","90","EWarren","81","WODouglas"
"True","81","SONY CORPORATION OF AMERICA et al. v. UNIVERSAL CITY STUDIOS, INC., et al.","78 L. Ed. 2d 574","1984 U.S. LEXIS 19","104 S. Ct. 774","464 U.S. 417","4.0","liberal","True","cert","True","1983","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1983-022","1983-022-01-01","1983-022-01","1983-022-01-01-01","Economic Activity","80190","patents and copyrights: copyright","6","Infrequently litigated statutes","conservative","True","reversed","no reason given","Burger","1507","7","48","California Central U.S. District Court","29","U.S. Court of Appeals  Ninth Circuit","5","4","True","True","manufacturer","184","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","17","1/17/1984","1","1984","99","WEBurger","103","JPStevens"
"True","106","COMPCO CORPORATION v. DAY-BRITE LIGHTING, INC.","11 L. Ed. 2d 669","1964 U.S. LEXIS 2366","84 S. Ct. 779","376 U.S. 234","2.0","liberal","True","cert","True","1963","opinion of the court (orally argued)","no declaration of unconstitutionality","petitioning party received a favorable disposition","1963-064","1963-064-01-01","1963-064-01","1963-064-01-01-01","Economic Activity","80180","patents and copyrights: patent","1","Constitution","conservative","True","affirmed","no reason given","Warren","1408","8","66","Illinois Northern U.S. District Court","27","U.S. Court of Appeals  Seventh Circuit","9","0","True","True","manufacturer","184","inventor / patent assigner / trademark owner or holder","172","Unidentifiable ","118","reversed","True","9","3/9/1964","3","1964","90","EWarren","78","HLBlack"
